FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2010/11,Vancouver Island and Coast,Strathcona Regional District,WINE,"267,539.69","3,032,329.27"
Fiscal 2011/12,Cariboo,Cariboo Regional District,BEER,"1,407,384.94","5,824,822.21"
Fiscal 2011/12,Cariboo,Cariboo Regional District,REFRESHMENT BEVERAGE,"161,555.56","750,085.57"
Fiscal 2011/12,Cariboo,Cariboo Regional District,SPIRITS,"204,798.72","6,285,690.64"
Fiscal 2011/12,Cariboo,Cariboo Regional District,WINE,"333,069.14","3,817,225.01"
Fiscal 2011/12,Cariboo,Fraser-Fort George Regional District,BEER,"1,980,347.16","8,202,636.66"
Fiscal 2011/12,Cariboo,Fraser-Fort George Regional District,REFRESHMENT BEVERAGE,"199,984.86","986,368.75"
Fiscal 2011/12,Cariboo,Fraser-Fort George Regional District,SPIRITS,"295,245.84","9,189,255.56"
Fiscal 2011/12,Cariboo,Fraser-Fort George Regional District,WINE,"487,434.41","6,201,193.61"
Fiscal 2011/12,Kootenay,Central Kootenay Regional District,BEER,"1,648,740.37","6,917,190.35"
Fiscal 2011/12,Kootenay,Central Kootenay Regional District,REFRESHMENT BEVERAGE,"176,619.73","832,921.21"
Fiscal 2011/12,Kootenay,Central Kootenay Regional District,SPIRITS,"177,830.08","5,559,772.53"
Fiscal 2011/12,Kootenay,Central Kootenay Regional District,WINE,"435,299.81","5,281,408.51"
Fiscal 2011/12,Kootenay,East Kootenay Regional District,BEER,"1,920,162.49","7,941,385.00"
Fiscal 2011/12,Kootenay,East Kootenay Regional District,REFRESHMENT BEVERAGE,"159,659.01","781,928.50"
Fiscal 2011/12,Kootenay,East Kootenay Regional District,SPIRITS,"219,340.01","6,741,526.67"
Fiscal 2011/12,Kootenay,East Kootenay Regional District,WINE,"404,842.76","5,083,056.82"
